"sensor";"corr"
2;-0.0687986877818219
3;-0.0527110412974423
4;0.0809058003366729
5;-0.0293616099416454
6;-0.0271272145965966
7;-0.00791141462914879
8;-0.0130505239227645
9;-0.124099972571855
10;-0.0228818634409933
11;-0.0456726959605263
13;0.0334248992543138
14;0.0940887328724784
15;0.0949824910104979
18;0.219326591962648
19;0.154082247887132
20;0.134643008385176
23;0.139670397911544
24;-0.0848863342661943
25;-0.0692455668508316
26;0.0338717783233236
27;-0.0172958750783678
28;0.00448947953589141
30;-0.0274623738983522
31;-0.041985943641194
33;-0.106113090044182
36;-0.111252199337805
38;-0.139629020219964
