id;num-serie;modele;record_min;type-zone;num-zone
1;21150040;MX2203;30;C;1
2;21150037;MX2203;30;C;1
3;21149850;MX2203;30;D;1
4;21150035;MX2203;30;A;2
5;21150041;MX2203;30;A;1
6;21150042;MX2203;30;A;1
7;21150034;MX2203;30;B;1
8;21149855;MX2203;30;B;1
9;21150036;MX2203;30;D;2
10;21150044;MX2203;30;D;2
11;21150038;MX2203;30;B;2
12;21149862;MX2203;30;B;2
13;21150038;MX2203;30;C;3
14;21149863;MX2203;30;B;3
15;21149860;MX2203;30;B;3
16;21149846;MX2203;30;C;2
17;21150039;MX2203;30;C;2
18;21149859;MX2203;30;A;1
19;21149866;MX2203;30;C;1
20;21149848;MX2203;30;A;2
21;21149947;MX2203;30;A;2
22;21149849;MX2203;30;C;2
23;21149852;MX2203;30;D;1
24;21149851;MX2203;30;C;4
25;21149845;MX2203;30;B;3
26;21149854;MX2203;30;C;4
27;21149853;MX2203;30;D;1
28;21149856;MX2203;30;C;4
29;21149843;MX2203;30;;
30;21149844;MX2203;30;C;3
31;21150045;MX2203;30;B;2
32;21150043;MX2203;30;;
33;21150046;MX2203;30;C;4
34;21150047;MX2203;30;;
35;21150048;MX2203;30;;
36;21149857;MX2203;30;D;2
37;21149858;MX2203;30;;
38;21150032;MX2203;30;B;1
